City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Hasaki,JP,35.7333,140.8333,57.6,85,100,9.19,overcast clouds
293,Lima,PE,-12.0432,-77.0282,68.4,57,40,1.99,scattered clouds
294,Mapastepec,MX,15.4333,-92.9,87.85,69,24,6.35,few clouds
295,Majene,ID,-3.5403,118.9707,77.88,88,47,3.42,scattered clouds
296,Jumla,NP,29.2747,82.1838,42.3,73,2,3.89,clear sky
297,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,92,100,9.51,overcast clouds
298,Airai,TL,-8.9266,125.4092,61.45,81,88,1.72,overcast clouds
299,Clyde River,CA,70.4692,-68.5914,32.23,100,75,5.75,broken clouds
300,Sibolga,ID,1.7427,98.7792,76.05,89,83,3.38,broken clouds
301,Chernyshevskiy,RU,63.0128,112.4714,22.59,76,97,17.13,overcast clouds
302,Tigil,RU,57.8,158.6667,29.34,98,100,2.89,overcast clouds
303,Dire,ML,12.2833,-10.9667,81.95,70,35,1.36,scattered clouds
304,Yuzhou,CN,34.1628,113.4639,52.07,42,100,2.62,overcast clouds
305,Sillamae,EE,59.3997,27.7547,47.43,92,100,16.89,overcast clouds
306,George Town,MY,5.4112,100.3354,81.9,88,40,1.01,scattered clouds
307,Sabratah,LY,32.7933,12.4885,71.96,67,59,14.52,broken clouds
308,Richards Bay,ZA,-28.783,32.0377,66.72,81,100,8.19,overcast clouds
309,Teguldet,RU,57.3064,88.1667,29.05,68,100,7.18,overcast clouds
310,Saint-Francois,FR,46.4154,3.9054,46.67,99,2,3.44,clear sky
311,Sur,OM,22.5667,59.5289,79.43,69,12,10.07,few clouds
312,Westport,US,41.1415,-73.3579,60.58,78,90,1.01,overcast clouds
313,Huarmey,PE,-10.0681,-78.1522,70.43,70,7,11.99,clear sky
314,Coxim,BR,-18.5067,-54.76,94.42,38,100,5.5,overcast clouds
315,Tiznit,MA,29.5833,-9.5,60.66,75,0,4.07,clear sky
316,Jiaocheng,CN,24.6774,116.1389,66.61,83,63,2.75,light rain
317,Hami,CN,42.8,93.45,48.72,34,0,2.57,clear sky
318,Mecca,SA,21.4267,39.8261,82.24,55,73,2.39,broken clouds
319,Tocopilla,CL,-22.092,-70.1979,70.38,55,20,6.2,few clouds
320,Chuy,UY,-33.6971,-53.4616,79.97,51,0,7.54,clear sky
321,Goulburn,AU,-34.75,149.7167,42.66,41,100,3.91,overcast clouds
322,Bridlington,GB,54.0831,-0.1919,60.98,75,97,24.92,overcast clouds
323,Aklavik,CA,68.2191,-135.0107,27.43,91,96,4.12,overcast clouds
324,Marzuq,YE,14.4,46.4667,71.38,54,23,4.79,few clouds
325,Sitka,US,57.0531,-135.33,46.29,87,90,14.97,moderate rain
326,Qurbus,TN,36.8167,10.5687,66.24,84,100,5.99,overcast clouds
327,Port Hueneme,US,34.1478,-119.1951,86.2,49,1,5.75,clear sky
328,Swellendam,ZA,-34.0226,20.4417,69.58,83,100,4.9,light rain
329,Pemberton,CA,50.3164,-122.8027,48.06,98,100,5.75,overcast clouds
330,Hof,DE,50.3167,11.9167,49.08,87,95,1.99,overcast clouds
331,Payson,US,40.0444,-111.7321,54.48,52,90,5.75,overcast clouds
332,Davila,PH,18.4726,120.5763,79.29,76,15,18.16,few clouds
333,Sicuani,PE,-14.2694,-71.2261,59.72,41,93,7.45,overcast clouds
334,Carlyle,US,38.6103,-89.3726,64.65,50,100,8.01,overcast clouds
335,Rudnichnyy,RU,59.617,52.4703,33.85,93,100,9.19,overcast clouds
336,Zhigansk,RU,66.7697,123.3711,18.48,91,100,20.87,overcast clouds
337,Mendeleyevo,RU,56.0333,37.2167,42.62,81,75,13.42,light rain
338,Kupang,ID,-10.1667,123.5833,79.74,81,80,7.05,broken clouds
339,Leningradskiy,RU,69.3833,178.4167,9.88,93,100,20.2,light snow
340,Namatanai,PG,-3.6667,152.4333,79.77,80,67,5.97,broken clouds
341,Grand-Lahou,CI,5.1367,-5.0242,77.95,87,97,8.19,light rain
342,Redlands,US,34.0556,-117.1825,82.18,29,0,2.62,clear sky
343,Abnub,EG,27.2696,31.1511,80.13,20,0,4.99,clear sky
344,Vanimo,PG,-2.6741,141.3028,78.64,87,97,4.05,overcast clouds
345,Rocha,UY,-34.4833,-54.3333,82.65,51,0,6.96,clear sky
346,Melfi,IT,40.9965,15.6514,55.4,85,53,2.53,broken clouds
