City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Port Shepstone,ZA,2021-10-25 21:57:19,-30.7414,30.455,63.86,89,100,11.25
246,Pevek,RU,2021-10-25 21:57:20,69.7008,170.3133,-1.12,96,100,4.18
247,Ardakan,IR,2021-10-25 21:57:20,32.31,54.0175,57.58,23,0,1.01
248,Lazaro Cardenas,MX,2021-10-25 21:57:20,17.9583,-102.2,75.78,94,100,7.38
249,Cap Malheureux,MU,2021-10-25 21:57:21,-19.9842,57.6142,70.29,81,6,1.99
250,Esso,RU,2021-10-25 21:57:21,55.9333,158.7,27.45,95,98,4.9
251,Ambon,ID,2021-10-25 21:57:21,-3.6954,128.1814,77.14,88,20,5.75
252,Kharp,RU,2021-10-25 21:57:22,66.8014,65.8081,12.43,90,35,7.47
253,West Helena,US,2021-10-25 21:57:22,34.5507,-90.6418,73.6,49,0,12.28
254,Darhan,MN,2021-10-25 21:57:22,49.4867,105.9228,32.9,78,9,8.23
255,Buchanan,LR,2021-10-25 21:57:23,5.8808,-10.0467,78.76,90,100,6.46
256,Nyurba,RU,2021-10-25 21:57:23,63.2842,118.3319,31.21,88,97,7.54
257,Trogir,HR,2021-10-25 21:57:23,43.5125,16.2517,57.88,47,0,6.91
258,Itarema,BR,2021-10-25 21:53:20,-2.9248,-39.9167,80.2,71,2,16.58
259,Port Lincoln,AU,2021-10-25 21:57:24,-34.7333,135.8667,63.21,51,100,15.88
260,Chivay,PE,2021-10-25 21:57:24,-15.6383,-71.6011,55.76,17,0,13.13
261,Cidreira,BR,2021-10-25 21:57:24,-30.1811,-50.2056,66.0,78,0,8.84
262,Makakilo City,US,2021-10-25 21:57:25,21.3469,-158.0858,82.56,56,25,18.41
263,Alexandria,EG,2021-10-25 21:54:50,31.2156,29.9553,75.16,69,0,8.05
264,Resistencia,AR,2021-10-25 21:57:25,-27.4606,-58.9839,82.45,44,0,6.91
265,Nishihara,JP,2021-10-25 21:57:25,26.1842,127.7558,70.88,68,20,9.22
266,Brownwood,US,2021-10-25 21:57:26,31.7093,-98.9912,95.29,29,1,8.05
267,Cuauhtemoc,MX,2021-10-25 21:56:48,28.4167,-106.8667,83.71,15,0,10.67
268,Ancud,CL,2021-10-25 21:57:26,-41.8697,-73.8203,54.43,94,100,14.61
269,La Ronge,CA,2021-10-25 21:57:26,55.1001,-105.2842,41.25,70,90,17.27
270,Leh,IN,2021-10-25 21:57:27,34.1667,77.5833,27.07,70,29,0.94
271,San Quintin,MX,2021-10-25 21:57:27,30.4833,-115.95,67.8,68,4,16.26
272,Gladstone,AU,2021-10-25 21:57:27,-23.85,151.25,71.53,88,40,10.36
273,Katsuura,JP,2021-10-25 21:57:28,35.1333,140.3,57.22,94,100,24.7
274,Iztapa,GT,2021-10-25 21:57:28,13.9333,-90.7075,87.85,74,40,6.91
275,Pucallpa,PE,2021-10-25 21:57:28,-8.3791,-74.5539,71.64,78,75,11.5
276,Wiwili,NI,2021-10-25 21:57:28,13.6268,-85.8254,90.34,80,44,3.2
277,Airai,TL,2021-10-25 21:57:29,-8.9266,125.4092,61.65,73,66,2.21
278,Kurchum,KZ,2021-10-25 21:57:29,48.5722,83.6542,41.95,55,44,1.14
279,Tefe,BR,2021-10-25 21:57:29,-3.3542,-64.7114,75.31,94,90,10.36
280,Huilong,CN,2021-10-25 21:57:30,31.8111,121.655,64.99,70,64,2.68
281,San Patricio,US,2021-10-25 21:57:30,28.017,-97.5169,92.12,58,94,11.61
282,Henties Bay,NA,2021-10-25 21:57:30,-22.116,14.2845,58.86,90,0,1.36
283,Karangampel,ID,2021-10-25 21:57:31,-6.4622,108.4519,78.84,78,95,3.44
284,Belmonte,BR,2021-10-25 21:57:31,-15.8631,-38.8828,77.5,91,100,7.54
285,Pacific Grove,US,2021-10-25 21:57:31,36.6177,-121.9166,65.57,78,9,1.01
286,Tabas,IR,2021-10-25 21:57:32,33.5959,56.9244,60.37,25,0,2.04
287,Watsa,CD,2021-10-25 21:57:32,3.0372,29.5355,64.42,96,79,2.26
288,Kalmunai,LK,2021-10-25 21:57:32,7.4167,81.8167,78.4,83,96,5.91
289,Luderitz,NA,2021-10-25 21:57:33,-26.6481,15.1594,57.2,89,4,4.79
290,Tutoia,BR,2021-10-25 21:57:33,-2.7619,-42.2744,81.12,76,3,15.61
291,Souillac,MU,2021-10-25 21:57:33,-20.5167,57.5167,70.18,88,75,14.97
292,Olinda,BR,2021-10-25 21:57:34,-8.0089,-34.8553,82.13,69,40,8.05
293,Saldanha,ZA,2021-10-25 21:57:34,-33.0117,17.9442,64.45,75,55,11.23
